Sujet,Condition,Resultat
1,Bassin,0.253686474738
1,ChevilleD,NA
1,ChevilleG,NA
1,CoudeG,NA
1,EpauleD,NA
1,EpauleG,NA
1,GenouxD,NA
1,GenouxG,0.427355554816
1,PoignetG,NA
1,Tete,0.306352111821
2,Bassin,0.374800765231
2,ChevilleD,0.392991286743
2,ChevilleG,0.574396629081
2,CoudeG,0.42723925803
2,EpauleD,0.511988719479
2,EpauleG,0.53982713631
2,GenouxD,0.345304470443
2,GenouxG,0.495766576354
2,PoignetG,0.479149513026
2,Tete,NA
6,Bassin,0.334945134204
6,ChevilleD,0.32121014073
6,ChevilleG,0.542062702575
6,CoudeG,NA
6,EpauleD,NA
6,EpauleG,0.411519481198
6,GenouxD,0.421933850749
6,GenouxG,0.724653741546
6,PoignetG,0.374268466536
6,Tete,0.340371442232
7,Bassin,0.417967942918
7,ChevilleD,0.393823455817
7,ChevilleG,0.288072987411
7,CoudeG,0.685575689232
7,EpauleD,0.422581615443
7,EpauleG,0.422497845833
7,GenouxD,0.298364232837
7,GenouxG,0.386537386569
7,PoignetG,0.321076552231
7,Tete,0.361577227
