Sujets,Condition,Score alignement,Score ecartement
mathieu,CoudeOpp,63.7646609796,98.7763351556
mathieu,CoudeOpp,91.9090869528,99.3091426439
mathieu,EpauleOpp,96.8044288528,96.3880055544
mathieu,EpauleDom,95.2598085868,91.4850127475
mathieu,EpauleDom,97.1609314538,89.5229896204
mathieu,GenouxOpp,97.1283094972,93.5686506998
mathieu,GenouxOpp,94.9646533553,96.5676595818
mathieu,GenouxDom,97.5607580005,92.4227435916
mathieu,GenouxDom,98.9716952166,99.8185012601
mathieu,PoignetOpp,96.6020121321,90.0974328329
mathieu,Tete,97.1199484117,98.6574375644
mathieu,Tete,98.8679391772,93.1575579283
mathieu,Tete,98.8671760987,87.9681570707
flo,CoudeOpp,97.9418727122,91.3178000966
flo,CoudeOpp,97.6216347422,97.7535772868
flo,EpauleDom,98.8191282829,95.6177916352
flo,EpauleOpp,99.2456372576,97.1069902171
flo,GenouxDom,96.2925720503,96.6929480707
flo,GenouxDom,97.9932961458,96.4402343247
flo,GenouxOpp,94.7997924225,93.1050021385
flo,GenouxOpp,94.5980924882,94.4134930309
flo,PoignetOpp,96.6595449952,93.9133401984
flo,PoignetOpp,99.1734335253,87.4013622505
flo,Tete,97.664875676,98.5350098078
flo,Tete,97.8264981326,91.2436838846
flo,Tete,99.946612537,98.9555979192
flo,Tete,98.442327118,98.0465050845
thomas,CoudeOpp,99.7576729903,97.1287598184
thomas,CoudeOpp,93.0080555976,98.2542388078
thomas,EpauleDom,99.1662829566,79.3111855831
thomas,EpauleDom,95.2440214989,99.0012245584
thomas,EpauleOpp,99.3547494407,92.1247828623
thomas,EpauleOpp,99.9312808446,99.1009381833
thomas,GenouxDom,98.6739257212,97.5542828073
thomas,GenouxOpp,98.8944923749,90.970028071
thomas,PoignetOpp,95.160417964,96.8420502329
thomas,PoignetOpp,97.9436464943,99.8689710555
thomas,Tete,98.5978963065,98.1530141291
thomas,Tete,98.793802745,96.8170860309
thomas,Tete,98.3652864847,95.8903401488
thomas,Tete,92.3688122354,99.779920631
galo,CoudeOpp,96.754501774,94.4756419353
galo,CoudeOpp,97.9682121588,87.1720134098
galo,EpauleDom,98.7502192498,95.2985611571
galo,EpauleDom,99.0193970087,99.2089408119
galo,EpauleOpp,97.6416060786,94.458271246
galo,EpauleOpp,98.5515911994,95.5205078442
galo,GenouxDom,98.919431493,91.1441040433
galo,GenouxOpp,97.9201670492,91.7924094125
galo,PoignetOpp,91.0163036747,98.6119948424
galo,PoignetOpp,98.8857431082,97.6874352258
galo,Tete,99.7421242913,90.6064760841
galo,Tete,96.798171768,95.4505877388
